persona,nombre,apellido,genero,direccion,dni,telefono1-2,departamento,ubigeo
35,"JON	",          YANG,M,CA. BELISARIO FLORES 755 -OFC.201 LINCE,23657812,20335396147-20335396147,LIMA,15101
36,"EUGENE	",          HUANG,M,JR. CORNELIO BORDA 247,23657813,20425782232-20425782232,LIMA,15101
37,"RUBEN	",          TORRES,M,AV. ALEJANDRO MAGNO 134 URB.BENJAMIN DOIG,23657814,20417135261-20417135261,CALLAO,70101
38,"CHRISTY	",          ZHU,F,AV. MARIATEGUI 561.,23657815,2000435731-2000435731,LIMA,15101
39,"ELIZABETH	",          JOHNSON,F,AV.COMANDANTE ESPINAR 689,23657816,200001794-200001794,LIMA,15101
40,"JULIO	",          RUIZ,M,AV. AREQUIPA 1155. LIMA.,23657817,2000017491-2000017491,LIMA,15101
41,"JANET	",          ALVAREZ,F,CA. CALLE CESAR LOPEZ 201 URB.MARANGA,23657818,20262085900-20262085900,LIMA,15101
42,"MARCO	",          MEHTA,M,AV. TUPAC AMARU 210,23657819,16900435-16900435,LIMA,15101
43,"ROB	",          VERHOFF,F,AV. REPUBLICA DE PANAMA 4615,23657820,13316775-13316775,LIMA,15101
44,"SHANNON	",          CARLSON,M,JR. MIGUEL ALJOVIN 159 OF.20-A,23657821,41637188-41637188,LIMA,15101
45,"JACQUELYN	",          SUAREZ,F,AV. CONQUISTADORES 948,23657822,2001970664-2001970664,LIMA,15101
46,"CURTIS	",          LU,M,AV. TINGO MARIA 1390 CHACRA RIOS SUR,23657823,16040401-16040401,LIMA,15101
47,"LAUREN	",          WALKER,F,AV. TINGO MARIA 600,23657824,2000152356-2000152356,LIMA,15101
48,"IAN	",          JENKINS,M,AV. BELAUNDE ESTE 483 KM. 13,23657825,20324937-20324937,LIMA,15101
49,"SYDNEY	",          BENNETT,F,JR. ENRIQUE PALACIOS 240 OF.202,23657826,72079685-72079685,LIMA,15101
50,"CHLOE	",          YOUNG,F,AV. ELMER FAUCETT 3350,23657827,96492-96492,LIMA,15101
51,"WYATT	",          HILL,M,AV. EMANCIPACION 317,23657828,38442198-38442198,LIMA,15101
52,"SHANNON	",          WANG,F,CA. HORACIO URTEAGA 1084,23657829,7253-7253,LIMA,15101
53,"CLARENCE	",          RAI,M,CA. PASO DE LOS ANDES  830,23657830,21556009-21556009,LIMA,15101
54,"LUKE	",          LAL,M,CA. VICTOR MAURTUA 140 OF.203,23657831,41405872-41405872,LIMA,15101
55,"JORDAN	",          KING,M,AV. PETIT THOUARS 4659 (2DO PISO). MIRAFLORES.,23657832,20175183729-20175183729,LIMA,15101
56,"DESTINY	",          WILSON,F,CA. LOS ANGELES 325,23657833,20162706366-20162706366,LIMA,15101
57,"ETHAN	",          ZHANG,M,CA. LOS TITANES 128 LA CAMPI¥A,23657834,20386266124-20386266124,LIMA,15101
58,"SETH	",          EDWARDS,M,AV. PROLONGACION MARISCAL NIETO 256,23657835,20377450494-20377450494,LIMA,15101
59,"RUSSELL	",          XIE,M,JR.HUARAZ 1546 INT.104,23657836,37932892-37932892,LIMA,15101
60,"ALEJANDRO	",          BECK,M,CALLE LAS TIENDAS 290,23657837,200006915-200006915,LIMA,15101
61,"HAROLD	",          SAI,M,CA. CA. BELISARIO FLORES 765,23657838,25692004-25692004,LIMA,15101
62,"JESSIE	",          ZHAO,M,CA. CA. A-23-URB. 12 DE OCTUBRE- CERRO COLORADO,23657839,41207302-41207302,LIMA,15101
63,"JILL	",          JIMENEZ,F,CA. CA. SANTO DOMINGO 102,23657840,16839213-16839213,LIMA,15101
64,"JIMMY	",          MORENO,M,CA. CA. LAS BEGONIAS 656 OF.29 B PISO 3,23657841,24072-24072,LIMA,15101
65,"BETHANY	",          YUAN,F,CA. CA. PASAJE URABAIN 180,23657842,20498045473-20498045473,LIMA,15101
66,"THERESA	",          RAMOS,F,CA. CA. PROLONGACION LA MAR 779. LA VICTORIA.,23657843,12825919-12825919,LIMA,15101
67,"DENISE	",          STONE,F,CA. CA. SUPERIOR 160 RINCONADA DEL LAGO,23657844,20298569311-20298569311,LIMA,15101
68,"JAIME	",          NATH,M,CA. CA. PEZET Y MONELL 2452,23657845,19-19,LIMA,15101
69,"EBONY	",          GONZALEZ,F,CA. CA. LIMA,23657846,20127765279-20127765279,LIMA,15101
70,"WENDY	",          DOMINGUEZ,F,CA. CA. LIMA,23657847,20295343495-20295343495,LIMA,15101
71,"JENNIFER	",          RUSSELL,F,CA. CA. LIMA,23657848,29338981-29338981,LIMA,15101
72,"CHLOE	",          GARCIA,F,CA. CA. Santiago Tavara 1446 Chacra Rios,23657849,2000094569-2000094569,LIMA,15101
73,"DIANA	",          HERNANDEZ,F,CA. CA. ALMIRANTE GUISSE 1723,23657850,20340278209-20340278209,LIMA,15101
74,"MARC	",          MARTIN,M,CA. CA. LOS CEDROS 598 DPTO 301,23657851,2000039207-2000039207,LIMA,15101
75,"JESSE	",          MURPHY,M,CA. CA. ISLAS VIRGENES 170,23657852,12490-12490,LIMA,15101
76,"AMANDA	",          CARTER,F,CA. CA. JOCKEY PLAZA,23657853,30288823-30288823,LIMA,15101
77,"MEGAN	",          SANCHEZ,F,CA. CA. PROL.STA.ANA Mza.N Lte.4-578 LOS SAUCES,23657854,20259171891-20259171891,LIMA,15101
78,"NATHAN	",          SIMMONS,M,CA. CA. C/ NU¥EZ DE BALBOA 530,23657855,20269215624-20269215624,LIMA,15101
79,"ADAM	",          FLORES,M,CA. CA. PORTAL DE PANES 163,23657856,2001395031-2001395031,LIMA,15101
80,"LEONARD	",          NARA,M,CA. CA. SAN JUAN DE DIOS 108-A,23657857,4063602-4063602,LIMA,15101
81,"CHRISTINE	",          YUAN,F,CA. CA. ESQ.ELMER FAUCETT Y TOMAS VALLE S/N,23657858,20115678273-20115678273,LIMA,15101
82,"JACLYN	",          LU,F,CA. CA. ASOC.SE¥OR DE LOS MILAGROS PJ.33,23657859,40519335-40519335,LIMA,15101
83,"JEREMY	",          POWELL,M,CA. CA. PASAJE BRENNER 165 DPTO 10. JESUS MARIA.,23657860,17285756375-17285756375,LIMA,15101
84,"CAROL	",          RAI,F,CA. CA. ELIAS AGUIRRE 502,23657861,72239178-72239178,LIMA,15101
85,"ALAN	",          ZHENG,M,CA. CA. ALFREDO LAPOINT 1058,23657862,17777-17777,LIMA,15101
86,"DANIEL	",          JOHNSON,M,CA. CA. CIUDAD SATELITE STA.ROSA MZ W LT 25,23657863,20265681220-20265681220,LIMA,15101
87,"HEIDI	",          LOPEZ,F,CA. CA. JOSE GALVEZ BARRENECHEA  211,23657864,20378841624-20378841624,LIMA,15101
88,"ANA	",          PRICE,F,CA. CA. MAUNUEL MARIA IZAGA 774,23657865,X-X,LIMA,15101
89,"DEANNA	",          MUNOZ,F,CA. CA. JORGE CHAVEZ CDRA 7 S/N PTO.341,23657866,X-X,LIMA,15101
90,"GILBERT	",          RAJE,M,CA. CA. REPUBLICA DE PANAMA 250 URB.TORRES ARAUJ,23657867,20256136865-20256136865,LIMA,15101
91,"MICHELE	",          NATH,F,CA. CA. JAVIER HERAUD 175 DPTO 301,23657868,12639724-12639724,LIMA,15101
92,"CARL	",          ANDERSEN,M,CA. CA. PJE. REQUENA 170 BRE¥A,23657869,17296086-17296086,LIMA,15101
93,"MARC	",          DIAZ,M,CA. CA. EMILIO CAVENECIA,23657870,2006835218-2006835218,LIMA,15101
94,"ASHLEE	",          ANDERSEN,F,CA. CA. LOS ROSALES 280 SANTA VICTORIA,23657871,20501614476-20501614476,LIMA,15101
95,"JON	",          ZHOU,M,CA. CA. AMAZONAS 223,23657872,43004018-43004018,LIMA,15101
96,"TODD	",          GAO,M,CA. CA. SAN JUAN DE DIOS 108-A,23657873,37498718-37498718,LIMA,15101
97,"NOAH	",          POWELL,M,CA. CA. SAN JUAN DE DIOS 200-A,23657874,206448-206448,LIMA,15101
98,"ANGELA	",          MURPHY,F,CA. CA. FRANCISCO MASIAS 575 ESQ.CON DEAN VALDIV,23657875,50603-50603,LIMA,15101
99,"CHASE	",          REED,M,CA. CA. MANUEL RUIZ 707,23657876,476453-476453,LIMA,15101
100,"JESSICA	",          HENDERSON,F,CA. CA. PSJE.SAN AGUSTIN 110-2,23657877,27922295-27922295,LIMA,15101
101,"GRACE	",          BUTLER,F,CA. CA. M.M.IZAGA 710,23657878,215511630-215511630,LIMA,15101
102,"CALEB	",          CARTER,M,CA. CA. paseo de la republica 1020,23657879,60044-60044,LIMA,15101
103,"TIFFANY	",          LIANG,F,CA. CA. ELMER FAUCETT 354 OF 201 MARANGA,23657880,14022767-14022767,LIMA,15101
104,"CAROLYN	",          NAVARRO,F,CA. CA. ASOC. CRISTINA VILDOSO PSTO 37. TACNA.,23657881,30480856-30480856,LIMA,15101
105,"WILLIE	",          RAJI,M,CA. CA. GRAU 514,23657882,20140249212-20140249212,LIMA,15101
106,"LINDA	",          SERRANO,F,CA. CA. PROSPERO 581-583,23657883,31930880-31930880,LIMA,15101
107,"CASEY	",          LUO,F,CA. CA. VIA CENTRAL 150 CENTRO EMPRESARIAL,23657884,14024417-14024417,LIMA,15101
108,"AMY	",          YE,F,CA. CA. MZ.G LTE.10 COOP.FAMILIAS UNIDAS,23657885,11868-11868,LIMA,15101
109,"LEVI	",          ARUN,M,CA. CA. HUERTOS DE MANCHAY MZ.C-13 LOTE 5,23657886,2000049181-2000049181,LIMA,15101
110,"FELICIA	",          JIMENEZ,F,CA. CA. PROLONGACION PIURA 342,23657887,296734131-296734131,LIMA,15101
111,"BLAKE	",          ANDERSON,M,CA. CA. E.CAMACHO # 972,23657888,35868690-35868690,LIMA,15101
112,"LEAH	",          YE,F,CA. CA. DOS DE MAYO 990,23657889,20389741737-20389741737,LIMA,15101
113,"GINA	",          MARTIN,F,CA. CA. Esquina Jr. Lima-Apurimac 1007,23657890,77006309-77006309,LIMA,15101
